50,50,"Material Handle 6","Powder",3,"2023-11-10","2023-04-11",,"images/202304/apar.jpg","fln-apar-50"
51,51,"Gudang Chemical 1 (1)","Liquid Gas",25,"2024-01-12","2023-04-11",,"images/202304/apar.jpg","fln-apar-51"
52,52,"Gudang Chemical (2)","Powder",6,"2024-01-12","2023-04-11",,"images/202304/apar.jpg","fln-apar-52"
54,54,"Gudang Resin","Powder ",3,"2024-01-12","2023-04-11",,"images/202304/apar.jpg","fln-apar-54"
55,55,"Machinery Mold","Powder ",3,"2024-01-12","2023-04-11",,"images/202304/apar.jpg","fln-apar-55"
56,56,"Mold Repair","Powder ",6,"2024-01-12","2023-04-11",,"images/202304/apar.jpg","fln-apar-56"
57,57,"Compressor","Powder ",6,"2024-01-12","2023-04-11",,"images/202304/apar.jpg","fln-apar-57"
58,58,"Assy AHM (1)","Powder ",6,"2024-01-12","2023-04-11",,"images/202304/apar.jpg","fln-apar-58"
59,59,"Assyh AHM LPF","Powder ",6,"2024-01-12","2023-04-11",,"images/202304/apar.jpg","fln-apar-59"
60,60,"Assy RBG","Powder ",6,"2023-06-30",,,"images/202304/apar.jpg","fln-apar-60"
61,61,"Ruang Forklift","Powder ",3,"2023-06-30",,,"images/202304/apar.jpg","fln-apar-61"
62,62,"Crusher 1","Powder ",6,"2023-06-30",,,"images/202304/apar.jpg","fln-apar-62"
63,63,"Sanding 1","Powder ",3,"2024-01-12",,,"images/202304/apar.jpg","fln-apar-63"
64,64,"Kaizen","Powder ",6,"2023-09-07",,,"images/202304/apar.jpg","fln-apar-64"
65,65,"Workshop Engineering","Powder ",6,"2024-01-12",,,"images/202304/apar.jpg","fln-apar-65"
66,66,"Sanding ","Powder ",3,"2024-01-12",,,"images/202304/apar.jpg","fln-apar-66"
67,67,"Crusher 2","Powder ",6,"2024-01-12",,,"images/202304/apar.jpg","fln-apar-67"
68,68,"WIP AHM","Powder ",3,"2024-01-12",,,"images/202304/apar.jpg","fln-apar-68"
69,69,"Painting 1","Powder ",3,"2024-01-12",,,"images/202304/apar.jpg","fln-apar-69"
70,70,"Painting 2 Assy HMMI","Powder ",3,"2024-01-12",,,"images/202304/apar.jpg","fln-apar-70"
71,71,"Painting 3","Powder ",6,"2024-01-12",,,"images/202304/apar.jpg","fln-apar-71"
72,72,"Painting 4/ Loading","Powder ",3,"2024-01-12",,,"images/202304/apar.jpg","fln-apar-72"
